,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,CIN_Anterior,CIN_Posterior,BG_CaudoPutamen,BG_Accumbens,BG_Pallidum,THL_Thalamus,THL_Hypothalamus,SUM
STh,0.9506437768240343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935622317596566,1.0
Cg2,0.39133784601838095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608662153981619,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EP,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,1.0
Sep,0.25754226986407336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10642059896121119,0.0,0.0,0.0,0.0,0.04685600618852912,0.0,0.0,0.0,0.44187203005857,0.07614101005635981,0.0,0.0,0.07116808487125649,0.9999999999999999
PG,0.9915991070379508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008400892962049112,0.0,0.0,0.0,0.0,0.0,1.0
HTh-u,0.24011956160743939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005255240588430656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03112118311289976,0.7235040146912302,1.0
GlA,0.3545816733067729,0.0,0.0,0.23324882289025714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41216950380296996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gl,0.05069063801797851,0.0,0.0,0.0029379522034641524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9463714097785574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
OB-u,0.028541055648889015,0.0,0.0,0.004907125297797014,0.0,0.0,0.0,0.0,0.0,0.006330856041838701,0.0,0.0,0.0,0.0,0.9495524739694562,0.0011294930569397382,0.0,0.0,9.491538293611245e-06,0.009529504446785691,0.0,0.0,0.0,1.0
FrA,0.026019211859919823,0.0,0.26389834354436126,0.6516148551546782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05846758944104077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
