,0,ACA__Anterior_Cingulate_Area_left,AI__Agranular_Insular_Area_left,AUD__Auditory_Areas_left,ECT__Ectorhinal_Area_left,GU__Gustatory_Areas_left,ILA__Infralimbic_Area_left,MO__Somatomotor_Areas_left,ORB__Orbital_Area_left,PERI__Perirhinal_Area_left,PL__Prelimbic_Area_left,PTLp__Posterior_Parietal_Association_Areas_left,RSP__Retrosplenial_Area_left,SS__Somatosensory_Areas_left,TEa__Temporal_Association_Areas_left,VIS__Visual_Areas_left,VISC__Visceral_Area_left,Isocortex__Isocortex_Uncharted_left,AA__Amygdalar_Area_left,COA__Cortical_Amygdalar_Area_left,PIR__Piriform_Area_left,TT__Tenia_Tecta_left,OLF__Olfactory_Areas_Uncharted_left,BLA__Basolateral_Amygdala_left,CLA__Claustrum_left,ENT__Entorhinal_Area_left,PAR__Parasubiculum_left,POST__Postsubiculum_left,PRE__Presubiculum_left,HPF__Hippocampal_Formation_Uncharted_left,ZI__Zona_Incerta_Uncharted_left,FF__Fields_of_Forel_left,PH__Posterior_Hypothalamic_Nucleus_left,POA__Preoptic_Areas_Uncharted_left,STN__Subthalamic_Nucleus_left,HY__Hypothalamus_Uncharted_left,LSX__Lateral_Septal_Complex_left,PALd__Pallidum_Dorsal_Region_left,STR__Striatum_left,ACB__Nucleus_Accumbens_left,BST__Bed_Nuclei_of_Stria_Terminalis_left,PALv__Pallidum_Ventral_Region_left,VPM__Ventral_Posteromedial_Nucleus_of_the_Thalamus_left,VPL__Ventral_Posterolateral_Nucleus_of_the_Thalamus_left,LD__Lateral_Dorsal_Nucleus_of_the_Thalamus_Uncharted_left,LDVL__Lateral_Dorsal_Nucleus_of_the_Thalamus_Ventrolateral_Part_left,LP__Lateral_Posterior_Nucleus_of_the_Thalamus_left,ATN__Anterior_Group_of_the_Dorsal_Thalamus_left,MG__Medial_Geniculate_Complex_left,LGd__Dorsal_Part_of_the_Lateral_Geniculate_Complex_left,RT__Reticular_Nucleus_of_the_Thalamus_left,PrG__Pregeniculate_Nucleus_left,MD__Mediodorsal_Thalamic_Nucleus_left,TH__Thalamus_Uncharted_left,FRP__Frontal_Pole_Cerebral_Cortex_left,SUM
STh,0.14163090128755365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12017167381974249,0.0,0.0,0.0,0.2918454935622318,0.23390557939914164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21244635193133046,0.0,1.0
Cg2,0.39353915579769966,0.5335424577623686,0.0,0.0,0.0,0.0,0.07176269880578945,0.0011556876341423147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EP,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sep,0.2430655321029948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6870924964084429,0.0,0.062493093159465135,0.0015471322798099238,0.00558072715217151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022101889711570338,0.0,1.0
PG,0.9735048760427681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026495123957231817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HTh-u,0.20598980209818898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028132142926915035,0.009592279289663391,0.017758415222615117,0.005450602692089789,0.0,0.6976185359563952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06077715044835603,0.0,1.0
GlA,0.06700470843897138,0.0,0.0,0.0,0.0,0.0,0.0,0.002897500905469033,0.33792104310032595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32415791379934805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26801883375588553,1.0
Gl,0.05367244025433019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035080026310019735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021925016443762334,0.0,0.0,0.0,0.0,0.9433457575093182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024117518088138568,1.0
OB-u,0.023833252655257837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003863056085499777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00228746072876031,0.0,0.0,0.0028474614880833735,0.009614928291428192,0.951071120096434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013288153611055743,0.0,0.0,0.0035688183983978283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002781020720028095,1.0
FrA,0.000756372437788367,0.014673625293094319,0.03986082747144694,0.0,0.0,0.0,0.0,0.5511685954163831,0.23341653430149006,0.0,0.13637395053324256,0.0,0.0,0.0,0.0,0.0,0.0,0.0005294607064518569,0.0,0.0,0.0,0.0,0.0001512744875576734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023069359352545192,1.0000000000000002
