,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR_Postcentral,PAR_Superior,PAR_Inferior,PAR_Precuneus,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_Caudate,BG_Putamen,BG_Accumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,Cerebellum,Brainstem,SUM
LV:ventricles,0.7109120521172638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008143322475570033,0.04125950054288816,0.004343105320304018,0.0,0.009771986970684038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1245928338762215,0.0,0.0,0.0,0.0,0.02035830618892508,0.01248642779587405,0.0,0.03637350705754615,0.03908794788273615,1.0
Md:medulla,0.12486457204767064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07845792704947635,0.796677500902853,1.0
Pn:pons,0.03812379524523452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034268579995716426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039301777682587274,0.9191475690726065,1.0
Cb:cerebellum,0.07439035961666192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007606667299237752,0.0,0.0,0.011038365436315907,0.013631906885536262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890185659613499,0.0031470411487490905,1.0
MB:midbrain,0.07768971199874442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016793533704779096,0.00047084673938632975,0.0,0.0,0.0006277956525151063,0.0,0.0,0.0,0.0,0.0,0.0,0.0017264380444165423,0.0,0.0,0.0,0.0,0.0,0.014753197834105,0.006984226634230558,0.0006277956525151063,0.03280232284391431,0.8475241308953936,1.0
Apul:anterior_pulvinar,0.055444221776887105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8931195724782899,0.0,0.0,0.0,0.05143620574482298,1.0
AM:anteromedial_thalamic_nucleus,0.32456140350877194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6754385964912281,0.0,0.0,0.0,0.0,1.0
AV:anteroventral_thalamic_nucleus,0.19767441860465115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8023255813953488,0.0,0.0,0.0,0.0,1.0
CM:central_medial_thalamic_nucleus,0.16017316017316016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8311688311688312,0.0,0.0,0.0,0.008658008658008658,1.0
Cl:centrolateral_thalamic_nucleus,0.02643171806167401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973568281938326,0.0,0.0,0.0,0.0,1.0
CMnL:centromedian_thalamic_nucleus_lateral_part,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8602941176470589,0.0,0.0,0.0,0.13970588235294118,1.0
CMnM:centromedian_thalamic_nucleus_medial_part,0.10891089108910891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40594059405940597,0.0,0.0,0.0,0.48514851485148514,1.0
Ipul:inferior_pulvinar,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020242914979757085,0.018218623481781375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7995951417004049,0.0,0.0,0.0,0.05668016194331984,1.0
IAM:interanteromedial_thalamic_nucleus,0.08771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9122807017543859,0.0,0.0,0.0,0.0,1.0
IMD:intermediodorsal_thalamic_nucleus,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055555555555556,0.0,0.0,0.0,0.3611111111111111,1.0
LDSF:lateral_dorsal_thalamic_nucleus_superficial_part,0.4226190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773809523809523,0.0,0.0,0.0,0.0,1.0
LGN:lateral_geniculate_nucleus,0.3074712643678161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007183908045977011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007902298850574713,0.0,0.0,0.0007183908045977011,0.0,0.6530172413793104,0.0,0.0,0.0,0.03017241379310345,0.9999999999999999
Lpul:lateral_pulvinar,0.21270310192023634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0361890694239291,0.022156573116691284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003692762186115214,0.0,0.0,0.0,0.0,0.7186115214180206,0.0,0.0,0.0,0.0066469719350073855,0.9999999999999999
MGD:medial_geniculate_nucleus_dorsal_part,0.3968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3968253968253968,0.0,0.0,0.0,0.1984126984126984,1.0
MGM:medial_geniculate_nucleus_medial_part,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
MGV:medial_geniculate_nucleus_ventral_part,0.5573770491803278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3442622950819672,0.0,0.0,0.0,0.09836065573770492,0.9999999999999999
MPul:medial_pulvinar,0.26171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6783854166666666,0.0,0.0,0.0,0.059895833333333336,1.0
MDC:mediodorsal_thalamic_nucleus_central_part,0.08768971332209106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8440134907251264,0.0,0.0,0.0,0.06829679595278246,1.0
MDD:mediodorsal_thalamic_nucleus_dorsal_part,0.2618296529968454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7381703470031545,0.0,0.0,0.0,0.0,1.0
MDL:mediodorsal_thalamic_nucleus_lateral_part,0.033860045146726865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9255079006772009,0.0,0.0,0.0,0.040632054176072234,1.0
MDM:mediodorsal_thalamic_nucleus_medial_part,0.24853228962818003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6516634050880626,0.0,0.0,0.0,0.09980430528375733,1.0
Pf:parafascicular_thalamic_nucleus,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.803030303030303,1.0
PV:paraventricular_thalamic_nucleus,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9655172413793104,0.0,0.0,0.0,0.0,1.0
PVT:paraventricular_thalamus,0.3390804597701149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6580459770114943,0.0028735632183908046,0.0,0.0,0.0,1.0
Pul:pulvinar_nuclei,0.7169811320754716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04245283018867924,0.07075471698113207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16981132075471697,0.0,0.0,0.0,0.0,1.0
R:reticular_thalamic_nucleus,0.4311485267588695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004810583283223091,0.0,0.0024052916416115455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018039687312086591,0.0,0.0,0.0,0.0,0.5592303066746843,0.0,0.0,0.0,0.0006013229104028864,1.0
Re:reuniens_thalamic_nucleus,0.3582089552238806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47761194029850745,0.1044776119402985,0.0,0.0,0.05970149253731343,1.0
SG:suprageniculate_thalamic_nucleus,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.47619047619047616,0.9999999999999999
VAL(pal):ventral_anterior_thalamic_nucleus_lateral_part_pallidal_territory_of_thalamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
VAL(VO)+pal:ventral_anterior_thalamic_nucleus_lateral_part_ventralis_oralis_nucleus+pallidal_territory_of_thalamus,0.005482456140350877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010964912280701754,0.0,0.0,0.0,0.0,0.9736842105263158,0.01864035087719298,0.0,0.0,0.0010964912280701754,1.0
