,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR_Postcentral,PAR_Superior,PAR_Inferior,PAR_Precuneus,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_Caudate,BG_Putamen,BG_Accumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,Cerebellum,SUM
A10,0.49290547915302335,0.0,0.0,0.16874044968347524,0.0004365858982754857,0.0,0.0,0.0,0.0013097576948264572,0.0,0.0024012224405151714,0.012006112202575856,0.03449028596376337,0.014407334643091027,0.0,0.0004365858982754857,0.00021829294913774285,0.0,0.0,0.004365858982754857,0.030342719930146256,0.003929273084479371,0.0021829294913774284,0.024448810303427198,0.052608600742196025,0.008950010914647456,0.0,0.04103907443789566,0.06439641999563414,0.0,0.040384195590482425,0.9999999999999999
A9,0.16455696202531644,0.0,0.0,0.6588306208559374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17661241711874623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A46,0.26838709677419353,0.0,0.0,0.7032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8a,0.3311482820976492,0.06849005424954792,0.35510849909584086,0.2416365280289331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003616636528028933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
A8b,0.20969113063190706,0.012468121280816095,0.0990365542646642,0.5681496174553698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11065457636724285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A47L,0.23621822336475293,0.001999428734647244,0.0,0.7617823479005998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A47M,0.4193319118692253,0.008528784648187633,0.0,0.5515280739161336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004975124378109453,0.015636105188343994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
A45,0.5292207792207793,0.0,0.0,0.4707792207792208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ProM,0.34074074074074073,0.30190796857463525,0.0,0.027160493827160494,0.17643097643097644,0.0,0.001122334455667789,0.0,0.021099887766554432,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.10325476992143659,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
A32V,0.20499108734402852,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7067736185383244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A32D,0.23431426985008327,0.0,0.0,0.0560799555802332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7096057745696835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A14,0.12777321281840592,0.0,0.0,0.48397699260476584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37551355792933444,0.0,0.0078060805258833195,0.0,0.0049301561216105174,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A24a,0.637962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35509259259259257,0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A24b,0.3079736649597659,0.0,0.006949524506217996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5343818580833943,0.1506949524506218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A24cd,0.2942544005313849,0.0322152108933909,0.0036532713384257723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22650282298239788,0.44337429425440056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A25,0.3797600417318727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32759520083463745,0.0,0.19248826291079812,0.0,0.10015649452269171,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A11L,0.2671232876712329,0.0,0.0,0.6948249619482496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380517503805175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A11M,0.1335907335907336,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15212355212355214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A13L,0.46182594767752266,0.0,0.0,0.403630539241858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015483182060864922,0.0,0.09877202349172451,0.0202883075280299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A13M,0.23350785340314137,0.0,0.0,0.2837696335078534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374869109947644,0.0,0.09424083769633508,0.0,0.013612565445026177,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gu,0.17668207498715974,0.1638418079096045,0.0,0.01848998459167951,0.10734463276836158,0.0,0.0,0.0,0.13456599897277863,0.0,0.0,0.0,0.0,0.0,0.0,0.12326656394453005,0.12942989214175654,0.0,0.0,0.0,0.0,0.0,0.0,0.14637904468412943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Opro,0.3137019230769231,0.09735576923076923,0.0,0.13341346153846154,0.0,0.0,0.0,0.0,0.012620192307692308,0.0,0.0,0.0,0.001201923076923077,0.0,0.0,0.20012019230769232,0.0078125,0.0,0.0018028846153846155,0.01141826923076923,0.0,0.0,0.0,0.12319711538461539,0.09735576923076923,0.0,0.0,0.0,0.0,0.0,0.0,1.0
OPAl,0.37553648068669526,0.0,0.0,0.08798283261802575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019313304721030045,0.0,0.0,0.0,0.0815450643776824,0.2317596566523605,0.20386266094420602,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A6D,0.398991784914115,0.1486183719193428,0.3797610156833458,0.0,0.07132188200149366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013069454817027633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A6M,0.1554078995939461,0.23661867847914358,0.4005167958656331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2074566260612772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A6V,0.5428702430077946,0.26180651077487394,0.0016047684548372307,0.011004126547455296,0.18202659330582302,0.0,0.0004585052728106373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022925263640531865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A4M,0.3766086298258895,0.4201362604087812,0.0,0.0,0.2032551097653293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A4L,0.15569230769230769,0.3332307692307692,0.0,0.0,0.35107692307692306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03569230769230769,0.12430769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S1M,0.5538306741411528,0.0031622825930717265,0.0,0.0,0.3429639212304154,0.04657179818887452,0.053471323846485556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S1D,0.19474908607510802,0.0,0.0,0.0,0.386839481555334,0.3027583914921901,0.0,0.11100033233632436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004652708541043536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
S1V,0.6154818325434439,0.0,0.0,0.0,0.28278041074249605,0.0,0.08909952606635071,0.0,0.01263823064770932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S2a,0.4619211634137007,0.0,0.0,0.0,0.0,0.0,0.2766934557979334,0.0,0.2613853807883659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
