,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_CaudoPutamen,BG_Accumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,CBL,SUM
grey:Basic_cell_groups_and_regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
CH:Cerebrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
CTX:Cerebral_cortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
CTXpl:Cortical_plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Isocortex:Isocortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
FRP:Frontal_pole_cerebral_cortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
FRP1:Frontal_pole_layer_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FRP2_3:Frontal_pole_layer_2_3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FRP5:Frontal_pole_layer_5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FRP6a:Frontal_pole_layer_6a,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FRP6b:Frontal_pole_layer_6b,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MO:Somatomotor_areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MO1:Somatomotor_areas_Layer_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MO2_3:Somatomotor_areas_Layer_2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MO5:Somatomotor_areas_Layer_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MO6a:Somatomotor_areas_Layer_6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MO6b:Somatomotor_areas_Layer_6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MOp:Primary_motor_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MOp1:Primary_motor_area_Layer_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MOp2_3:Primary_motor_area_Layer_2_3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MOp5:Primary_motor_area_Layer_5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MOp6a:Primary_motor_area_Layer_6a,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MOp6b:Primary_motor_area_Layer_6b,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MOs:Secondary_motor_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MOs1:Secondary_motor_area_layer_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MOs2_3:Secondary_motor_area_layer_2_3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MOs5:Secondary_motor_area_layer_5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MOs6a:Secondary_motor_area_layer_6a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MOs6b:Secondary_motor_area_layer_6b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SS:Somatosensory_areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SS1:Somatosensory_areas_layer_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SS2_3:Somatosensory_areas_layer_2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SS4:Somatosensory_areas_layer_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SS5:Somatosensory_areas_layer_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SS6a:Somatosensory_areas_layer_6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SS6b:Somatosensory_areas_layer_6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp:Primary_somatosensory_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp1:Primary_somatosensory_area_layer_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp2_3:Primary_somatosensory_area_layer_2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp4:Primary_somatosensory_area_layer_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp5:Primary_somatosensory_area_layer_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp6a:Primary_somatosensory_area_layer_6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp6b:Primary_somatosensory_area_layer_6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp_n:Primary_somatosensory_area_nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp_n1:Primary_somatosensory_area_nose_layer_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_n2_3:Primary_somatosensory_area_nose_layer_2_3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_n4:Primary_somatosensory_area_nose_layer_4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_n5:Primary_somatosensory_area_nose_layer_5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_n6a:Primary_somatosensory_area_nose_layer_6a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_n6b:Primary_somatosensory_area_nose_layer_6b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_bfd:Primary_somatosensory_area_barrel_field,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp_bfd1:Primary_somatosensory_area_barrel_field_layer_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_bfd2_3:Primary_somatosensory_area_barrel_field_layer_2_3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_bfd4:Primary_somatosensory_area_barrel_field_layer_4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_bfd5:Primary_somatosensory_area_barrel_field_layer_5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_bfd6a:Primary_somatosensory_area_barrel_field_layer_6a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_bfd6b:Primary_somatosensory_area_barrel_field_layer_6b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VISrll:Rostrolateral_lateral_visual_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
VISrll1:Rostrolateral_lateral_visual_area_layer_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
VISrll2_3:Rostrolateral_lateral_visual_area_layer_2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
VISrll4:Rostrolateral_lateral_visual_area_layer_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
VISrll5:Rostrolateral_lateral_visual_arealayer_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
VISrll6a:Rostrolateral_lateral_visual_area_layer_6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
VISrll6b:Rostrolateral_lateral_visual_area_layer_6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp_ll:Primary_somatosensory_area_lower_limb,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp_ll1:Primary_somatosensory_area_lower_limb_layer_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_ll2_3:Primary_somatosensory_area_lower_limb_layer_2_3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_ll4:Primary_somatosensory_area_lower_limb_layer_4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_ll5:Primary_somatosensory_area_lower_limb_layer_5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_ll6a:Primary_somatosensory_area_lower_limb_layer_6a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_ll6b:Primary_somatosensory_area_lower_limb_layer_6b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_m:Primary_somatosensory_area_mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp_m1:Primary_somatosensory_area_mouth_layer_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_m2_3:Primary_somatosensory_area_mouth_layer_2_3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_m4:Primary_somatosensory_area_mouth_layer_4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_m5:Primary_somatosensory_area_mouth_layer_5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_m6a:Primary_somatosensory_area_mouth_layer_6a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_m6b:Primary_somatosensory_area_mouth_layer_6b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_ul:Primary_somatosensory_area_upper_limb,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp_ul1:Primary_somatosensory_area_upper_limb_layer_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_ul2_3:Primary_somatosensory_area_upper_limb_layer_2_3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_ul4:Primary_somatosensory_area_upper_limb_layer_4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_ul5:Primary_somatosensory_area_upper_limb_layer_5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_ul6a:Primary_somatosensory_area_upper_limb_layer_6a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_ul6b:Primary_somatosensory_area_upper_limb_layer_6b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_tr:Primary_somatosensory_area_trunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp_tr1:Primary_somatosensory_area_trunk_layer_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_tr2_3:Primary_somatosensory_area_trunk_layer_2_3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_tr4:Primary_somatosensory_area_trunk_layer_4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_tr5:Primary_somatosensory_area_trunk_layer_5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_tr6a:Primary_somatosensory_area_trunk_layer_6a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_tr6b:Primary_somatosensory_area_trunk_layer_6b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_un:Primary_somatosensory_area_unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSp_un1:Primary_somatosensory_area_unassigned_layer_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_un2_3:Primary_somatosensory_area_unassigned_layer_2_3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_un4:Primary_somatosensory_area_unassigned_layer_4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_un5:Primary_somatosensory_area_unassigned_layer_5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_un6a:Primary_somatosensory_area_unassigned_layer_6a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSp_un6b:Primary_somatosensory_area_unassigned_layer_6b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSs:Supplemental_somatosensory_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SSs1:Supplemental_somatosensory_area_layer_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSs2_3:Supplemental_somatosensory_area_layer_2_3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSs4:Supplemental_somatosensory_area_layer_4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSs5:Supplemental_somatosensory_area_layer_5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSs6a:Supplemental_somatosensory_area_layer_6a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSs6b:Supplemental_somatosensory_area_layer_6b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GU:Gustatory_areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
GU1:Gustatory_areas_layer_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
