,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_CaudoPutamen,BG_Accumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,CBL,SUM
grey:Basic_cell_groups_and_regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CH:Cerebrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CTX:Cerebral_cortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CTXpl:Cortical_plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex:Isocortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_Frontal_pole_cerebral_cortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_Frontal_pole_layer_1,0.0,0.0,0.31712626995645865,0.6828737300435413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_Frontal_pole_layer_2_3,0.0,0.0,0.40791268758526605,0.592087312414734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_Frontal_pole_layer_5,0.0,0.0,0.48998664886515353,0.49065420560747663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019359145527369826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_Frontal_pole_layer_6a,0.017660044150110375,0.0,0.5309050772626932,0.41501103752759383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03642384105960265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_Frontal_pole_layer_6b,0.2,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isocortex_MO:Somatomotor_areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO1:Somatomotor_areas_Layer_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO2_3:Somatomotor_areas_Layer_2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO5:Somatomotor_areas_Layer_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO6a:Somatomotor_areas_Layer_6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_MO6b:Somatomotor_areas_Layer_6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Isocortex_Primary_motor_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
