,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR_Postcentral,PAR_Superior,PAR_Inferior,PAR_Precuneus,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_Caudate,BG_Putamen,BG_Accumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,Cerebellum,Brainstem,SUM
LV:ventricles,0.495928338762215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005428881650380022,0.03393051031487514,0.04044516829533116,0.014386536373507057,0.0,0.00515743756786102,0.05374592833876222,0.0,0.0,0.0,0.0,0.0,0.0,0.05836047774158523,0.12839305103148752,0.0,0.0,0.0,0.0,0.07003257328990228,0.005971769815418024,0.0,0.06460369163952226,0.028501628664495113,1.0
Md:medulla,0.35608522932466596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2951426507764536,0.34877211989888046,1.0
Pn:pons,0.1447847504819019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013171985435853501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18869136860141358,0.6533518954808311,1.0
Cb:cerebellum,0.2561912894961571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021839516715690926,0.0,0.0,0.054432741879368696,0.04246133409241864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6168200651548218,0.00825505266154284,0.9999999999999999
MB:midbrain,0.1466687593188417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08326139841481597,0.022286745664286275,0.0,0.0,0.022129796751157498,0.0,0.0,0.0,0.0,0.0,0.0,0.0014910146747233776,0.0,0.0,0.0,0.0,0.0,0.058384995683904886,0.0,0.000784744565643883,0.14502079573098955,0.5199717491956368,1.0
Apul:anterior_pulvinar,0.5070140280561122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013360053440213762,0.0,0.0,0.009352037408149633,0.0,0.0,0.0,0.0,0.33867735470941884,0.0,0.0,0.0,0.14362057448229792,1.0
AM:anteromedial_thalamic_nucleus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AV:anteroventral_thalamic_nucleus,0.12209302325581395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877906976744186,0.0,0.0,0.0,0.0,1.0
CM:central_medial_thalamic_nucleus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9653679653679653,0.0,0.0,0.0,0.03463203463203463,1.0
Cl:centrolateral_thalamic_nucleus,0.3524229074889868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6387665198237885,0.0,0.0,0.0,0.00881057268722467,0.9999999999999999
CMnL:centromedian_thalamic_nucleus_lateral_part,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4852941176470588,1.0
CMnM:centromedian_thalamic_nucleus_medial_part,0.0891089108910891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36633663366336633,0.0,0.0,0.0,0.5445544554455446,1.0
