,geometric_consistency
FRO_Prefrontal,0.9785645146168923
TEM_Amygdala,0.9692715694876066
FRO_Premotor,0.9604295647172828
OCC_Lateral,0.9587687905107054
CIN_Posterior,0.9583076508214136
OLF_Piriform,0.9525241988620917
BG_Accumbens,0.9502780562266224
TEM_Medial,0.9502295760531785
THL_Hypothalamus,0.9462872157229679
BG_Pallidum,0.9455854604548874
OCC_Medial,0.9451184611066358
BG_CaudoPutamen,0.9359759567527854
FRO_Precentral,0.9331677138268782
TEM_Inferior,0.9311002811116245
THL_Thalamus,0.923981381465197
INS_Anterior,0.9227207505817212
TEM_Hippocampus,0.9204766519509193
OLF_Anterior,0.9199245950843142
CIN_Anterior,0.919495890142319
PAR,0.9152378539608296
TEM_Superior,0.9050427609973923
INS_Posterior,0.8781890761282973
