,nomenclature,geometric,connectivity,n_criteria,confidence
FRO_Precentral,0.8333333333333334,0.9331677138268782,0.8985148514851486,3,0.8883386328817867
FRO_Premotor,0.8333333333333334,0.9604295647172828,0.8646864686468647,3,0.8861497888991603
FRO_Prefrontal,0.75,0.9785645146168923,0.7937293729372938,3,0.8407646291847287
PAR,0.9166666666666666,0.9152378539608296,0.805940594059406,3,0.8792817048956341
TEM_Superior,0.75,0.9050427609973923,0.8129812981298129,3,0.822674686375735
TEM_Inferior,0.75,0.9311002811116245,0.7716584158415841,3,0.8175862323177362
TEM_Medial,1.0,0.9502295760531785,0.7326732673267328,3,0.8943009477933037
TEM_Hippocampus,1.0,0.9204766519509193,,2,0.9602383259754597
TEM_Amygdala,1.0,0.9692715694876066,,2,0.9846357847438033
OCC_Lateral,0.8333333333333334,0.9587687905107054,0.7649817613340283,3,0.8523612950593558
OCC_Medial,0.8333333333333334,0.9451184611066358,0.7866336633663367,3,0.8550284859354352
INS_Anterior,0.8333333333333334,0.9227207505817212,,2,0.8780270419575273
INS_Posterior,0.8333333333333334,0.8781890761282973,,2,0.8557612047308154
OLF_Anterior,0.8333333333333334,0.9199245950843142,,2,0.8766289642088239
OLF_Piriform,1.0,0.9525241988620917,,2,0.9762620994310458
CIN_Anterior,0.8333333333333334,0.919495890142319,0.8061490359562273,3,0.85299275314396
CIN_Posterior,0.8333333333333334,0.9583076508214136,0.7455445544554457,3,0.8457285128700641
BG_CaudoPutamen,1.0,0.9359759567527854,,2,0.9679879783763927
BG_Accumbens,1.0,0.9502780562266224,,2,0.9751390281133112
BG_Pallidum,1.0,0.9455854604548874,,2,0.9727927302274437
THL_Thalamus,1.0,0.923981381465197,,2,0.9619906907325986
THL_Hypothalamus,1.0,0.9462872157229679,,2,0.9731436078614839
