source,A1/2,A10,A11,A13L,A13M,A13a,A13b,A14C,A14R,A19DI,A19M,A23V,A23a,A23b,A23c,A24a,A24b,A24c,A24d,A25,A29a-c,A29d,A30,A31,A32,A32V,A35,A36,A3a,A3b,A45,A46D,A46V,A47L(12L),A47M(12M),A47O(12O),A4ab,A4c,A6DC,A6DR,A6M,A6Va,A6Vb,A8C,A8aD,A8aV,A8b,A9,AI,AIP,APir,AuA1,AuAL,AuCL,AuCM,AuCPB,AuML,AuR,AuRM,AuRPB,AuRT,AuRTL,AuRTM,DI,Ent,FST,GI,Gu,IPro,LIP,MIP,MST,OPAl,OPro,OPt,PE,PEC,PF,PFG,PG,PGM,PGa/IPa(FSTv),PaIL,PaIM,Pir,ProM(PrCO),ProSt,ReI,S2E,S2I,S2PR,S2PV,STR,TE1,TE2,TE3,TEO,TF,TFO,TH,TL,TLO,TPO(STP),TPPro,TPro,TPt,V1,V2,V3(VLP),V3A(DA),V4(VLA),V4T(MTC),V5(MT),V6(DM),V6A(PPM),VIP
A1/2,0.0,1.9159290339885808e-05,8.850340738118418e-05,0,0,0,0,0,0,0.00013194352816994323,0.0,0,0.0006232748642151189,0.0012341089156858898,0.01754319918683884,0,0,0,0.0028148259973735713,0,0,0,0,0,0.0,0.0,0,0,0.09990280350254244,0.5031507725110305,0.0015679801939343925,0.0,0,0.0014046603699925592,0,0,0.07342503096421563,0.12276975361087512,0.03280574025882032,0.0006818723006477844,0.006227011195570641,0.11721359864574694,0,0.0003552438577191052,0.0,0.001207104667148887,0.0010850140413581823,0.0,0,0.0015844800445155205,0,0.0,0,0,0.004131255901794146,0.0,4.9107534626400926e-05,0,0,0,6.217959045047141e-05,0,0,0,0,0,0,0,0,0.0,0.0,0.0003861252332839951,0,0,0.00030805264995519287,0.2349088838268793,4.0130021268911264e-05,0.1536105367945478,0.04585760905461067,0.0014220376146138259,3.099045493987852e-05,0.0017570832418185812,0,0,0,0,0,0,0.17150670688716654,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,5.001000200040008e-05,0,0,0,0.0,0.0,0,0.0,0.0,0.00014762326542663124,0.00030068728522336766,0.0,0,0
A10,0.0,0.0,0.3777325427028941,0,0,0,0,0,0,0.0,0.0005903187721369539,0,0.004738157499180902,0.0013368351260764398,0.0,0,0,0,0.0,0,0,0,0,0,0.08447684391080618,0.2746098348778941,0,0,0.0,0.0,0.018733237053847742,0.30027355056702504,0,0.08871908901201328,0,0,0.0,0.0,0.0,0.003172519259078711,0.0,0.0007255990529452586,0,5.72973964063073e-05,0.02960791368309617,0.003139026616627409,0.016080141590913408,0.07396945891076,0,0.0045623732674092395,0,0.0,0,0,0.0038309071700371173,0.011389012952210807,0.017816770929000244,0,0,0,8.9156409244839e-05,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.00010483279169724291,0.0,0.0,0.0,0.0005636978579481398,0.0006403273387368116,0.0007143844771166519,0.016472655392049198,0,0,0,0,0,0,0.0006076470038328504,0,0,0,0,0,0,0.04479365889388836,0.0,0,0,0,0,0,0.033933218268872065,0,0,0,0.0,0.0,0,0.0,0.00014690247837790556,0.0,0.0,0.0,0,0
A11,0.0,0.061765402459495064,0.0,0,0,0,0,0,0,0.0,0.008264462809917356,0,0.012819348026515196,0.0006436336916277507,0.0,0,0,0,3.666226719460332e-05,0,0,0,0,0,0.006432246998284734,0.04413318441150723,0,0,0.0,0.0,0.006024344955642666,0.004176484706668349,0,0.0250468495184207,0,0,0.0,0.0,0.0,0.004001720964721893,0.00019577133907595928,0.0002418663509817529,0,0.00048129812981298134,0.021597076451807317,0.0014224409679710075,0.008952780702508923,0.03901491746844382,0,0.004753431442368152,0,0.0,0,0,0.0,0.0,0.0005298614790704715,0,0,0,0.0,0,0,0,0,0,0,0,0,8.852691218130312e-05,0.0,0.0001930626166419976,0,0,0.00012781812705328573,0.0,0.0,0.0,7.923302432453847e-05,0.0004118210021305848,0.00378727012494034,0.0007687239182956293,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.03152631349473856,0.00012284006223896486,0,0,0,0,0,0.0011522657394729384,0,0,0,0.0,0.0,0,0.0,0.00017380589511183076,0.0,0.0,0.0,0,0
A13L,0.0,0.022643554941703743,0.02699353925126117,0,0,0,0,0,0,0.00013194352816994323,0.0,0,0.0013753926422247506,0.0011365905160518285,0.0,0,0,0,0.0006965830766974629,0,0,0,0,0,0.006646655231560892,0.00039242913635403133,0,0,0.0,1.2338367387227319e-05,0.062224056117185886,0.00028306009555808544,0,0.031956778292824034,0,0,0.0,0.0,5.956635692161067e-05,0.0014877712331126983,0.005698493359924991,0.0043712258468920325,0,0.002034376934961256,0.005902174736538418,0.01081989748868858,0.009357697110766871,0.002648071321387589,0,0.008616295215551479,0,0.0,0,0,0.0,0.00022331397945511388,0.0023764189307158502,0,0,0,4.2703118029156375e-05,0,0,0,0,0,0,0,0,0.0,0.0,0.0007078962610206577,0,0,0.00012781812705328573,0.0,0.0,0.00313959721265028,0.00035654860946042314,0.0008315159742880693,0.000394137397219657,0.0017570832418185812,0,0,0,0,0,0,0.00035285163759710933,0,0,0,0,0,0,0.007188940521207062,0.000286626811890918,0,0,0,0,0,0.0032513999638610204,0,0,0,0.0,0.0,0,0.0,0.0010012006691796774,0.00022143489813994686,0.0,0.0,0,0
A13M,0.0,0.02649275659718349,0.03349853969377821,0,0,0,0,0,0,0.0,0.0005903187721369539,0,0.0005639153533374885,0.0002800888052277747,0.0,0,0,0,0.00025663587036222317,0,0,0,0,0,0.018867924528301886,0.010203157545204818,0,0,0.0,0.0,0.0036723746647410772,0.00037057264970300066,0,0.00485560776056994,0,0,0.0,0.0,0.0,0.0008042922277191838,8.662508662508664e-05,0.0005155393177395872,0,0.00042400073340667405,0.0016379672024447625,0.0009642638958227488,0.006540322456906268,0.02400917998058081,0,0.0012102436963549329,0,0.0,0,0,7.869058860560277e-05,0.0006699419383653418,0.00145122777177184,0,0,0,6.592976363699768e-05,0,0,0,0,0,0,0,0,0.0,0.0,0.0008366046721153227,0,0,2.298533535604285e-05,0.0,0.0,0.0002680143962018532,0.0008410134430840244,0.00031007864408762263,0.0004227496843264297,0.01328794201625302,0,0,0,0,0,0,0.00044633579203293253,0,0,0,0,0,0,0.02378956785366504,0.0,0,0,0,0,0,0.007735183455068806,0,0,0,0.0,0.0,0,0.0,2.669015400218859e-05,0.0,0.0,0.0,0,0
A13a,0.0,0.0011104043440482813,0.004956190813346314,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0002144082332761578,0.004980831346031936,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.582947663035332e-05,0.0015888427928325535,0,0.0,0,0.0,0,0,0.0,0.0,4.77520712460903e-05,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0007662835249042147,0.0,0,0,0.0,0.0,0.0,3.828777088597902e-05,0.0,0.0,0.0,0.0005490885130683067,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0038545218299301178,0.0,0,0,0,0,0,0.00021560282430424787,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
A13b,0.0,0.02988083942915241,0.022347110363749003,0,0,0,0,0,0,0.0,0.0,0,0.0,6.3438895655704425e-06,0.0,0,0,0,0.0,0,0,0,0,0,0.0015008576329331046,0.022700516195248592,0,0,0.0,0.0,0.0002475758200949041,6.246616416107942e-05,0,9.37188202614342e-05,0,0,0.0,0.0,0.0,2.7922041659686156e-05,0.0,0.0,0,0.0,0.0,0.0,0.001695303418458474,0.0022067261011563246,0,3.526590492312033e-05,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.589893055491807e-06,0.0,0.00010981770261366131,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.002047276163731552,0.0,0,0,0,0,0,1.5053892936713434e-05,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
A14C,0.0,0.0012967093410317185,0.003009115850960262,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.007075471698113208,0.0255984544329399,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.4732965009208102e-05,0.0001050190000702002,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00016317152730104025,0.0,0,0,0,0,0,5.001000200040008e-05,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
A14R,0.0,0.061058903165511276,0.04265864235773077,0,0,0,0,0,0,0.0,0.0,0,2.9679755438815187e-05,6.3438895655704425e-06,0.0,0,0,0,0.0,0,0,0,0,0,0.09884219554030876,0.3149696622090742,0,0,0.0,1.2338367387227319e-05,4.126263668248401e-05,0.00020822054720359806,0,7.611628549642805e-05,0,0,0.0,0.0,0.0,2.7922041659686156e-05,0.0,0.0,0,0.0,0.0,0.0,0.001164011194603899,0.0022067261011563246,0,2.0537254579807766e-05,0,0.0,0,0,0.0,0.0,7.569449701006738e-05,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.00010483279169724291,0.0,0.0,0.0,0.0,0.0,0.0,0.00010981770261366131,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0066487373403712295,0.0,0,0,0,0,0,0.0003161317516709821,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
A19DI,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.005312868949232586,0,0.01434460818079669,0.0004640748798868095,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0014441922838869404,0.0,0,0.008314373048349347,0,0,0.0,0.0,0.0,0.0010335670168472716,0.0,0.0,0,0.0010313531353135313,0.0,0.006510466921171869,0.0,0.0,0,0.0015317883268829145,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.050991501416430586,0.012260536398467432,0.0002574168221893301,0,0,0.021108079957661296,0.0,0.0,0.0,0.0,0.0019143191316186746,0.0005578281889178133,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0007779870608467775,0,0,0,0,0,0.0,0,0,0,0.03056555723752312,0.04612056954383044,0,0.05386117923746242,0.013447967270235771,0.010285886068051274,0.008067577828397874,0.026756976319535608,0,0
