,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,CIN_Anterior,CIN_Posterior,BG_CaudoPutamen,BG_Accumbens,BG_Pallidum,THL_Thalamus,THL_Hypothalamus,SUM
FRO_Precentral,0.5269072935772849,0.5712423799363886,0.30421298751938025,1.0262506084491112,0.015425348231335354,0.006595928921512026,0.000692638117801879,1.8452584056719982e-05,0.0,0.009219026773543993,0.002342054480556581,1.573705773468997e-06,0.0,0.0,0.0,0.36862800157123665,0.1868134849500468,4.176708060520173e-07,0.0,0.0,8.097424336685968e-06,0.0,3.0183582939131712
FRO_Premotor,0.5494759168166011,1.0585147638929921,0.4378752274160053,0.4549693992101685,0.009908426340783011,0.0023811796095132777,0.00018439182769053948,7.60681107625837e-06,0.0,0.005660961315096474,0.012983081544244124,6.303568845315564e-07,0.0,0.0,0.0,0.18253908574305044,0.12894180065689068,6.872179492473167e-08,0.0,0.0,1.3323160887020697e-06,0.0,2.84344387257888
FRO_Prefrontal,0.28341557981341786,0.5856611741323958,5.361208647888161,0.33962991216778005,0.3011313087177891,0.22059510586806189,0.00541718353916803,0.00013668892756196093,0.0,0.0319721666387108,0.04526337048887252,5.531622003578062e-05,0.0,0.0,0.0,0.9833873961721494,0.16118966771796567,3.657204199743656e-06,0.0,0.0,7.090257174341806e-05,0.0,8.319138078068013
PAR,1.4350822680723645,1.0369733754263892,0.3422752291054954,9.198008426038463,0.9805705152003057,0.1101490350494709,0.01596446346986733,0.0007759154974463938,0.0,0.3342684173312993,0.409730035157459,1.9645164044478453e-05,0.0,0.0,0.0,0.16446611792557722,1.0293744645449825,8.793583297482401e-05,0.0,0.0,0.001704820503802251,0.0,15.059450664319938
TEM_Superior,0.05883081918776678,0.04146219228200062,0.5739887959516122,1.0505550251045468,6.254995598924194,0.6452979432209835,0.04176296457614094,0.0011384947362083795,0.0,0.33398151704020096,0.1359476349644766,0.0008251114455607054,0.0,0.0,0.0,0.04479177247206888,0.05747661936546012,9.461734520165398e-05,0.0,0.0,0.0018343556279417621,0.0,9.242983462244364
TEM_Inferior,0.03290025248178893,0.016803087091419016,0.35219516295718567,0.26823291548362255,0.5051139141251108,0.6112457508601269,0.12334139048886562,0.0011043208792667013,0.0,0.1653820370538249,0.012749569033795954,4.623532734881705e-05,0.0,0.0,0.0,0.026636535396486277,0.006404950394217096,1.931626147470906e-05,0.0,0.0,0.000374486230525815,0.0,2.1225499240650594
TEM_Medial,0.005685320171507862,0.0027389077708310458,0.06219291917354785,0.1942489990934662,0.11623365722197783,0.29073237616227005,0.07748660692299666,0.0005195682381531582,0.0,0.12418956585789166,0.03807898363333853,6.421860416903018e-06,0.0,0.0,0.0,0.00366313178668749,0.005919160933700993,3.8689446225209576e-05,0.0,0.0,0.0007500760381081031,0.0,0.9224843843111196
TEM_Hippocampus,0.0003155396883307393,0.0017643154449922555,0.020153607913193414,0.041977287615555935,0.034769735890053284,0.022315365733650436,0.0015188528996296264,1.5655717915471047e-05,0.0,0.007335978419263665,0.01832151505126178,5.906966833909518e-06,0.0,0.0,0.0,0.0017514737852261507,0.010234080384929671,1.8292841410481286e-06,0.0,0.0,3.546450866999795e-05,0.0,0.16051660930364733
TEM_Amygdala,3.825203586408509e-05,0.00011868601131532832,0.002848853248549564,0.0016981638140623483,0.003216878495219157,0.005127996858502498,0.00034057890109166663,5.209526643487097e-07,0.0,7.32827039119162e-05,4.539725984652282e-05,1.102812306515846e-06,0.0,0.0,0.0,0.00023828666215187143,0.0003140773782744823,2.823674306401874e-08,0.0,0.0,5.474284703701754e-07,0.0,0.014062652798973738
OCC_Lateral,0.007870893354170296,0.010657293838318182,0.10513442311137337,1.1467739215435666,0.5088553671973512,0.265580750206902,0.11566008435631116,0.00409681920594652,0.0,1.337378955622774,0.7156800930171625,3.7888663031908095e-06,0.0,0.0,0.0,0.003695952684720078,0.06524584678174176,0.0008314194884280655,0.0,0.0,0.016118810082105566,0.0,4.3035844193571755
OCC_Medial,0.007981652311877079,0.028047809259272354,0.08686890021449896,0.8247170709601443,0.41388900245610905,0.021613333114762774,0.010230334841579451,0.002836286442679998,0.0,0.6549872186858646,0.6159424056082393,1.4960990352314593e-05,0.0,0.0,0.0,0.004028118821102209,0.16252145253208436,0.000731395276493686,0.0,0.0,0.014179631005571286,0.0,2.8485895725206323
INS_Anterior,0.0006672512123797675,0.0009076701193874606,0.010108967631627707,0.02226729923739641,0.20180571402871714,0.022136961225025915,0.0001079095328496819,1.040603545504041e-08,0.0,3.1654726727353584e-06,7.274811610366494e-06,3.859896205410637e-05,0.0,0.0,0.0,0.003785774508237283,0.0006206937541245621,0.0,0.0,0.0,0.0,0.0,0.2624572909021186
INS_Posterior,0.003435252733732896,0.001442687922612731,0.0030169096543083054,0.03292749874352368,0.04224379696921399,0.004373249468856711,9.521961604840518e-06,3.2013864175993324e-08,0.0,8.800855530826321e-06,6.4386326489658415e-06,4.078890932634022e-06,0.0,0.0,0.0,0.0023804673106404216,0.0009336815128599502,0.0,0.0,0.0,0.0,0.0,0.0907824166703301
OLF_Anterior,6.1938734377844865e-06,9.111210211078001e-05,0.0008950081143409177,0.00013887129858674804,0.00010500830105114617,0.00010836416446284273,9.042172317668813e-10,3.6205823448570795e-11,0.0,4.509945905465617e-09,5.9546790440510975e-08,3.416660205624747e-10,0.0,0.0,0.0,0.00011589180462230084,2.23193083916693e-09,0.0,0.0,0.0,0.0,0.0,0.0014605172293687808
