source,A1/A2,A10,A11,A13L,A13M,A13a,A13b,A14C,A14R,A19DI,A19M,A23V,A23a,A23b,A23c,A24a,A24b,A24c,A24d,A25,A29a-c,A29d,A30,A31,A32,A32V,A35,A36,A3a,A3b,A45,A46D,A46V,A47L,A47M,A47O,A4ab,A4c,A6DC,A6DR,A6M,A6Va,A6Vb,A8C,A8aD,A8Av,A8b,A9,AI,AIP,Apri,AuA1,AuAL,AuCL,AuCM,AuCPB,AuML,AuR,AuRM,AuRPB,AuRT,AuRTL,AuRTM,DI,Ent,FST,GI,Gu,Ipro,LIP,MIP,MST,OPAl,OPro,OPt,PE,PEC,PF,PFG,PG,PGM,Pga-IPa,PaIL,PaIM,Pir,ProM,ProSt,ReI,S2E,S2I,S2PR,S2PV,STR,TE1,TE2,TE3,TEO,TF,TFO,TH,TL,TLO,TPO,TPPro,Tpro,TPt,V1,V2,V3,V3A,V4,V4T,V5,V6,V6A,VIP
A1/A2,0.0,1.9159290339885808e-05,8.850340738118418e-05,0,0,0,0,0,0,0.0001319435281699,0.0,0,0.0006232748642151,0.0012341089156858,0.0175431991868388,0,0,0,0.0028148259973735,0,0,0,0,0,0.0,0.0,0,0,0.0999028035025424,0.5031507725110305,0.0015679801939343,0.0,0,0.0014046603699925,0,0,0.0734250309642156,0.1227697536108751,0.0328057402588203,0.0006818723006477,0.0062270111955706,0.1172135986457469,0,0.0003552438577191,0.0,0.0012071046671488,0.0010850140413581,0.0,0,0.0015844800445155,0,0.0,0,0,0.0041312559017941,0.0,4.9107534626400926e-05,0,0,0,6.217959045047141e-05,0,0,0,0,0,0,0,0,0.0,0.0,0.0003861252332839,0,0,0.0003080526499551,0.2349088838268793,4.0130021268911264e-05,0.1536105367945478,0.0458576090546106,0.0014220376146138,3.099045493987852e-05,0.0017570832418185,0,0,0,0,0,0,0.1715067068871665,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,5.001000200040008e-05,0,0,0,0.0,0.0,0,0.0,0.0,0.0001476232654266,0.0003006872852233,0.0,0,0
A10,0.0,0.0,0.3777325427028941,0,0,0,0,0,0,0.0,0.0005903187721369,0,0.0047381574991809,0.0013368351260764,0.0,0,0,0,0.0,0,0,0,0,0,0.0844768439108061,0.2746098348778941,0,0,0.0,0.0,0.0187332370538477,0.300273550567025,0,0.0887190890120132,0,0,0.0,0.0,0.0,0.0031725192590787,0.0,0.0007255990529452,0,5.72973964063073e-05,0.0296079136830961,0.0031390266166274,0.0160801415909134,0.07396945891076,0,0.0045623732674092,0,0.0,0,0,0.0038309071700371,0.0113890129522108,0.0178167709290002,0,0,0,8.9156409244839e-05,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0001048327916972,0.0,0.0,0.0,0.0005636978579481,0.0006403273387368,0.0007143844771166,0.0164726553920491,0,0,0,0,0,0,0.0006076470038328,0,0,0,0,0,0,0.0447936588938883,0.0,0,0,0,0,0,0.033933218268872,0,0,0,0.0,0.0,0,0.0,0.0001469024783779,0.0,0.0,0.0,0,0
A11,0.0,0.061765402459495,0.0,0,0,0,0,0,0,0.0,0.0082644628099173,0,0.0128193480265151,0.0006436336916277,0.0,0,0,0,3.666226719460332e-05,0,0,0,0,0,0.0064322469982847,0.0441331844115072,0,0,0.0,0.0,0.0060243449556426,0.0041764847066683,0,0.0250468495184207,0,0,0.0,0.0,0.0,0.0040017209647218,0.0001957713390759,0.0002418663509817,0,0.0004812981298129,0.0215970764518073,0.001422440967971,0.0089527807025089,0.0390149174684438,0,0.0047534314423681,0,0.0,0,0,0.0,0.0,0.0005298614790704,0,0,0,0.0,0,0,0,0,0,0,0,0,8.852691218130312e-05,0.0,0.0001930626166419,0,0,0.0001278181270532,0.0,0.0,0.0,7.923302432453847e-05,0.0004118210021305,0.0037872701249403,0.0007687239182956,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0315263134947385,0.0001228400622389,0,0,0,0,0,0.0011522657394729,0,0,0,0.0,0.0,0,0.0,0.0001738058951118,0.0,0.0,0.0,0,0
A13L,0.0,0.0226435549417037,0.0269935392512611,0,0,0,0,0,0,0.0001319435281699,0.0,0,0.0013753926422247,0.0011365905160518,0.0,0,0,0,0.0006965830766974,0,0,0,0,0,0.0066466552315608,0.000392429136354,0,0,0.0,1.233836738722732e-05,0.0622240561171858,0.000283060095558,0,0.031956778292824,0,0,0.0,0.0,5.956635692161067e-05,0.0014877712331126,0.0056984933599249,0.004371225846892,0,0.0020343769349612,0.0059021747365384,0.0108198974886885,0.0093576971107668,0.0026480713213875,0,0.0086162952155514,0,0.0,0,0,0.0,0.0002233139794551,0.0023764189307158,0,0,0,4.2703118029156375e-05,0,0,0,0,0,0,0,0,0.0,0.0,0.0007078962610206,0,0,0.0001278181270532,0.0,0.0,0.0031395972126502,0.0003565486094604,0.000831515974288,0.0003941373972196,0.0017570832418185,0,0,0,0,0,0,0.0003528516375971,0,0,0,0,0,0,0.007188940521207,0.0002866268118909,0,0,0,0,0,0.003251399963861,0,0,0,0.0,0.0,0,0.0,0.0010012006691796,0.0002214348981399,0.0,0.0,0,0
A13M,0.0,0.0264927565971834,0.0334985396937782,0,0,0,0,0,0,0.0,0.0005903187721369,0,0.0005639153533374,0.0002800888052277,0.0,0,0,0,0.0002566358703622,0,0,0,0,0,0.0188679245283018,0.0102031575452048,0,0,0.0,0.0,0.003672374664741,0.000370572649703,0,0.0048556077605699,0,0,0.0,0.0,0.0,0.0008042922277191,8.662508662508664e-05,0.0005155393177395,0,0.0004240007334066,0.0016379672024447,0.0009642638958227,0.0065403224569062,0.0240091799805808,0,0.0012102436963549,0,0.0,0,0,7.869058860560277e-05,0.0006699419383653,0.0014512277717718,0,0,0,6.592976363699768e-05,0,0,0,0,0,0,0,0,0.0,0.0,0.0008366046721153,0,0,2.298533535604285e-05,0.0,0.0,0.0002680143962018,0.000841013443084,0.0003100786440876,0.0004227496843264,0.013287942016253,0,0,0,0,0,0,0.0004463357920329,0,0,0,0,0,0,0.023789567853665,0.0,0,0,0,0,0,0.0077351834550688,0,0,0,0.0,0.0,0,0.0,2.669015400218859e-05,0.0,0.0,0.0,0,0
A13a,0.0,0.0011104043440482,0.0049561908133463,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0002144082332761,0.0049808313460319,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.582947663035332e-05,0.0015888427928325,0,0.0,0,0.0,0,0,0.0,0.0,4.77520712460903e-05,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0007662835249042,0.0,0,0,0.0,0.0,0.0,3.828777088597902e-05,0.0,0.0,0.0,0.0005490885130683,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0038545218299301,0.0,0,0,0,0,0,0.0002156028243042,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
A13b,0.0,0.0298808394291524,0.022347110363749,0,0,0,0,0,0,0.0,0.0,0,0.0,6.3438895655704425e-06,0.0,0,0,0,0.0,0,0,0,0,0,0.0015008576329331,0.0227005161952485,0,0,0.0,0.0,0.0002475758200949,6.246616416107942e-05,0,9.37188202614342e-05,0,0,0.0,0.0,0.0,2.792204165968616e-05,0.0,0.0,0,0.0,0.0,0.0,0.0016953034184584,0.0022067261011563,0,3.526590492312033e-05,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.589893055491807e-06,0.0,0.0001098177026136,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0020472761637315,0.0,0,0,0,0,0,1.5053892936713434e-05,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
A14C,0.0,0.0012967093410317,0.0030091158509602,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0070754716981132,0.0255984544329399,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.4732965009208102e-05,0.0001050190000702,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.000163171527301,0.0,0,0,0,0,0,5.001000200040008e-05,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
A14R,0.0,0.0610589031655112,0.0426586423577307,0,0,0,0,0,0,0.0,0.0,0,2.9679755438815187e-05,6.3438895655704425e-06,0.0,0,0,0,0.0,0,0,0,0,0,0.0988421955403087,0.3149696622090742,0,0,0.0,1.233836738722732e-05,4.126263668248401e-05,0.0002082205472035,0,7.611628549642805e-05,0,0,0.0,0.0,0.0,2.792204165968616e-05,0.0,0.0,0,0.0,0.0,0.0,0.0011640111946038,0.0022067261011563,0,2.053725457980777e-05,0,0.0,0,0,0.0,0.0,7.569449701006738e-05,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0001048327916972,0.0,0.0,0.0,0.0,0.0,0.0,0.0001098177026136,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0066487373403712,0.0,0,0,0,0,0,0.0003161317516709,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
A19DI,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0053128689492325,0,0.0143446081807966,0.0004640748798868,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0014441922838869,0.0,0,0.0083143730483493,0,0,0.0,0.0,0.0,0.0010335670168472,0.0,0.0,0,0.0010313531353135,0.0,0.0065104669211718,0.0,0.0,0,0.0015317883268829,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0509915014164305,0.0122605363984674,0.0002574168221893,0,0,0.0211080799576612,0.0,0.0,0.0,0.0,0.0019143191316186,0.0005578281889178,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0007779870608467,0,0,0,0,0,0.0,0,0,0,0.0305655572375231,0.0461205695438304,0,0.0538611792374624,0.0134479672702357,0.0102858860680512,0.0080675778283978,0.0267569763195356,0,0
