,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,CIN_Anterior,CIN_Posterior,BG_CaudoPutamen,BG_Accumbens,BG_Pallidum,THL_Thalamus,THL_Hypothalamus,SUM
A1/A2,0.0,0.0,0.0,0.0,0.9992127533950009,0.000787246604999016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A10,0.0,0.0,0.0,0.9667649423746985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03323505762530153,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A11,0.0,0.0,0.0,0.9961471103327496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003852889667250438,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A13L,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A13M,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A13a,0.0,0.0,0.0,0.7765567765567766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22344322344322345,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A13b,0.0,0.0,0.0,0.9311797752808989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06882022471910113,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A14C,0.0,0.0,0.0,0.14666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8533333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A14R,0.0,0.0,0.0,0.8795454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12045454545454545,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A19DI,0.0,0.0,0.0,0.0,0.25568797399783316,0.0,0.0,0.0,0.0,0.0,0.7443120260021668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A19M,0.0,0.0,0.0,0.0,0.006256900993743099,0.0,0.0,0.0,0.0,0.0,0.0,0.9937430990062569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A23V,0.0,0.0,0.0,0.0,0.01259748050389922,0.0,0.0,0.0,0.0,0.0,0.0,0.34973005398920215,0.0,0.0,0.0,0.0,0.0,0.6376724655068986,0.0,0.0,0.0,0.0,0.0,1.0
