,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,CIN_Anterior,CIN_Posterior,BG_CaudoPutamen,BG_Accumbens,BG_Pallidum,THL_Thalamus,THL_Hypothalamus
FRO_Precentral,7.027082565,0.909676089,0.017017669,1.947512566,0.009486154,0,1.93E-05,0.003872823,0.042987143,0.000410188,0.003204053,0.377409468,0.015260796,4.80E-05,1.36E-05,0.055803664,0.010149987,2.147388988,0.00405023,0.055675689,1.275149428,0.009603514
FRO_Premotor,1.33523794,17.84605432,0.668348333,0.162223782,0.000294712,0,0.001291204,0.015078276,0.168094317,0.022848413,0.021608264,0.086560585,0.009760307,0.004569911,0.001155301,1.953007153,0.04146076,1.837934997,0.003965456,0.032676417,1.75111548,0.01108957
FRO_Prefrontal,0.013292896,1.090976768,25.86006441,0.000631892,0,0.000362767,0.000615409,0.000584688,0.199441091,0,0.002818099,0.351848767,0.000613957,0.531953148,0.029115992,1.177418844,0.000721756,2.329578807,0.464847632,0.011335716,1.46849175,0.051060286
PAR,2.556813299,0.955437104,0.052897208,59.28975804,1.069072714,0.014454778,0.008410948,0.301002455,0.249013514,0.381257835,0.153812478,0.118119669,1.19715173,0.015771879,0.00717587,0.020607141,0.058906444,6.142656818,0.035015362,0.212341869,5.580496956,0.029673323
TEM_Superior,0,4.09E-05,0.00636553,0.711502651,13.79156679,0.265503821,0.495132228,0.05427168,0.063012982,0.729022349,0.119862561,0.002231233,0.007637601,0.000313431,0.004002883,5.16E-05,0.001073651,0.525993749,0.033615909,0.001030458,1.42909522,0
TEM_Inferior,0,4.27E-08,0.007935971,9.36E-05,0.180875798,0.80459646,0.321047423,0.10707961,0.056835837,7.40E-05,3.38E-05,0.001905968,0.006469496,0.004459408,0.020730077,0.000102393,2.50E-05,0.052564407,0.02826317,0.000569181,0.008247188,0
TEM_Medial,0,0,0.024778157,0.000290116,0.6784258,0.356349322,28.45532766,12.10121476,0.58687137,1.600060448,0.217134777,0.005214712,0.007895483,0.035014893,0.15764481,0.000602035,0.056674935,0.549219482,0.119664851,0.000170069,0.932042312,0.041277052
TEM_Hippocampus,0.005685046,0.005789874,0.011126537,0.214717563,0.035617596,0.009094286,3.065847572,58.94777056,0.33929981,0.252595135,0.273117627,0.00060773,0.000516461,0.019763237,0.001107819,0.019210804,0.435690631,0.059340274,0.767560885,0.000570083,0.915792998,0.318417655
TEM_Amygdala,0.046092321,0.173564016,0.074305727,0.152358389,0.037576314,0.038464024,0.150390915,0.300288416,42.79771563,0.004781389,0.000985531,0.017091869,0.047965298,0.158899097,0.223910102,0.040886596,0.003446758,1.319556351,0.99775215,0.200563697,0.116378703,2.771765365
OCC_Lateral,0.000218808,0.002013697,0.012719971,0.244497289,0.788166736,0.006362728,2.210614941,0.439923244,0.017279765,22.63440285,3.340542981,0,0,0.00845514,4.96E-05,0.015242273,0.259467408,0.62385886,0.001433935,0.00022637,1.48259996,0.002518155
OCC_Medial,5.67E-05,0.00960312,0.028649499,0.072260883,0.136684083,0.002028915,0.464909172,0.640386956,0.017588378,5.053230968,56.78845419,0,0.000310718,0.004111609,0.00083091,0.027087518,2.704089213,0.770024025,0.068226816,0.003660193,6.685214659,0.031107641
INS_Anterior,0.354744484,0.050009194,0.188882637,0.086766474,4.76E-05,0.000826874,0.001557423,2.72E-05,0.041961164,0,0,3.481271772,0.233810025,0.001909337,0.004183756,2.68E-06,0,0.550309129,0.024783968,0.015006769,0.294502418,0.001436902
