Name	FRO_Precentral	FRO_Premotor	FRO_Prefrontal	PAR	TEM_Superior	TEM_Inferior	TEM_Medial	TEM_Hippocampus	TEM_Amygdala	OCC_Lateral	OCC_Medial	INS_Anterior	INS_Posterior	OLF_Anterior	OLF_Piriform	OLF_Claustrum	CIN_Anterior	CIN_Posterior	BG_CaudoPutamen	BG_Accumbens	BG_Pallidum	BG_Substantia_Nigra	THL_Thalamus	THL_Hypothalamus	THL_Subthalamus	CBL	BST
voxel counts	321195	293424	1.31889e+06	1.12446e+06	676834	266723	292597	93391	36611	438348	260248	145015	61414	18339	23567	30236	108189	144547	202755	13234	44931	4489	173212	15096	2075	1.3782e+06	254944
volume (mm^3)	40149.4	36678	164862	140558	84604.2	33340.4	36574.6	11673.9	4576.38	54793.5	32531	18126.9	7676.75	2292.38	2945.88	3779.5	13523.6	18068.4	25344.4	1654.25	5616.38	561.125	21651.5	1887	259.375	172276	31868
center x	159.395	157.998	158.667	159.765	159.972	168.943	161.189	159.144	154.942	144.944	157.457	162.741	156.984	159.258	146.677	151.685	160.255	158.569	158.444	159.222	162.509	157.079	159.874	158.173	155.008	159.428	158.239
center y	181.459	152.088	84.3641	256.311	197.81	226.118	232.368	207.524	170.406	329.412	307.884	149.661	197.989	108.624	148.831	159.865	97.2382	219.871	152.303	140.19	172.248	197.606	199.569	168.667	185.736	287.053	224.686
center z	237.845	259.829	167.916	230.295	124.801	92.7097	97.5103	115.327	102.508	167.369	151.554	145.776	150.751	104.845	103.6	133.441	164.497	206.685	152.264	127.359	140.678	118.286	155.899	118.91	130.365	69.4733	72.711
bounding box x	26	58	36	20	16	22	60	80	93	36	89	57	46	119	73	74	127	117	92	130	101	129	107	136	130	49	118
bounding box y	133	97	16	153	110	136	137	168	156	264	240	95	135	48	129	98	47	137	105	118	142	183	158	154	178	214	174
bounding box z	137	198	78	151	47	41	41	81	80	102	104	101	91	90	79	80	110	130	116	114	124	111	132	105	125	11	0
bounding box x	291	263	282	298	302	298	265	236	226	270	227	268	276	205	244	250	188	203	227	191	219	189	215	179	189	272	199
bounding box y	244	197	171	344	313	314	328	251	194	377	372	217	258	153	168	213	152	281	223	159	205	215	237	185	193	350	265
bounding box z	305	302	274	308	197	166	145	158	125	249	226	190	218	118	122	186	226	245	199	141	162	129	186	136	137	141	148
qa	0.0748136	0.0823909	0.0777702	0.0736344	0.0631274	0.0646332	0.0678848	0.106749	0.128596	0.0837648	0.0647761	0.094044	0.0739063	0.0543968	0.126051	0.27848	0.0880924	0.0772305	0.097433	0.0952203	0.10088	0.121258	0.164915	0.164713	0.164042	0.165128	0.246835
iso	0.747417	0.794624	0.886856	0.803353	0.757138	0.682704	0.673862	0.621779	0.656415	0.994249	0.831903	0.761555	0.718685	0.52483	0.684951	0.611122	0.838572	0.691496	0.585191	0.612464	0.408601	0.405767	0.547136	0.556095	0.459359	0.796052	0.540682
t1w_template	143.881	134	134.831	138.78	133.307	129.688	125.164	127.831	125.968	137.914	130.227	122.978	128.585	123.873	123.634	163.751	122.051	117.962	145.478	129.236	166.137	150.102	148.355	116.735	168.491	151.39	158.384
qa_max	0.284551	0.291595	0.308109	0.32737	0.244815	0.239894	0.307459	0.525005	0.394829	0.334667	0.313707	0.315175	0.248454	0.20374	0.466057	0.621892	0.52946	0.548689	0.570824	0.330791	0.790297	0.283208	0.718846	0.45896	0.402467	0.742632	1
iso_max	1.03944	1.14478	1.62554	1.24149	1.07386	1.02037	0.935219	0.820996	0.759793	1.36375	1.26322	0.918155	0.859116	0.732768	0.88115	0.838942	1.10223	0.871924	0.726864	0.727037	0.777965	0.537946	0.744202	0.750316	0.579993	1.15476	0.751709
t1w_template_max	189	180	191	197	189	186	186	186	180	185	186	175	177	176	166	204	180	177	198	181	199	166	191	188	178	210	212
qa_min	0.0166275	0.0197009	0.00703856	0.0153979	0.0139764	0.0151531	0.014365	0.016595	0.0273371	0.0189321	0.0168029	0.0234097	0.0200264	0.0149109	0.0209303	0.0498865	0.0282287	0.0214859	0.0188913	0.0278999	0.0180992	0.0323009	0.0438731	0.016316	0.0517731	0.0120521	0.0110151
iso_min	0.336759	0.427485	0.181555	0.332064	0.239217	0.282739	0.244578	0.387826	0.426797	0.334314	0.352501	0.39507	0.396708	0.320908	0.392674	0.490464	0.418415	0.431913	0.35585	0.368975	0.322225	0.32776	0.405819	0.335447	0.357734	0.202052	0.188261
t1w_template_min	59	68	32	55	39	39	39	51	44	48	69	53	61	64	55	120	55	61	31	47	95	138	63	1	157	34	3
