Name	FRO_Precentral	FRO_Premotor	FRO_Prefrontal	PAR	TEM_Superior	TEM_Inferior	TEM_Medial	TEM_Hippocampus	TEM_Amygdala	OCC_Lateral	OCC_Medial	INS_Anterior	INS_Posterior	OLF_Anterior	OLF_Piriform	OLF_Claustrum	CIN_Anterior	CIN_Posterior	BG_CaudoPutamen	BG_Accumbens	BG_Pallidum	BG_Substantia_Nigra	THL_Thalamus	THL_Hypothalamus	THL_Subthalamus	CBL	BST
voxel counts	13504	9015	31429	54497	41712	20035	15214	22294	10476	70014	46833	4691	3340	988	5411	1178	12553	14132	26015	3260	3648	1125	20958	3758	537	60485	46608
volume (mm^3)	108.032	72.12	251.432	435.976	333.696	160.28	121.712	178.352	83.808	560.112	374.664	37.528	26.72	7.904	43.288	9.424	100.424	113.056	208.12	26.08	29.184	9	167.664	30.064	4.296	483.88	372.864
center x	99.836	99.3962	98.6215	99.5977	98.9424	97.4954	98.0322	98.0449	98.8508	98.9518	99.3572	98.1761	99.4335	99.4626	99.1525	101.338	99.2126	99.2775	99.082	99.3583	99.5875	99.7271	98.8255	99.2557	98.5866	99.1459	99.3418
center y	101.098	94.0636	77.8889	135.788	134.013	144.705	150.189	143.141	118.389	193.486	185.226	110.836	113.272	56.0547	108.868	111.014	89.7985	139.729	114.989	105.101	119.217	136.615	137.465	114.298	130.838	186.528	165.348
center z	86.9303	96.7716	77.1335	100.011	71.8937	50.5209	43.0812	50.4362	43.6166	80.7621	88.59	59.09	70.9341	62.498	40.4352	50.7216	82.0499	94.407	71.7788	59.3739	63.9372	50.4302	72.7388	53.4529	58.8305	53.6701	39.0646
bounding box x	23	38	27	21	14	14	19	28	36	16	34	23	27	54	39	33	63	42	32	45	40	53	37	65	53	27	43
bounding box y	47	43	17	56	58	67	85	78	67	118	116	62	62	5	58	65	25	69	51	57	72	91	80	62	85	119	98
bounding box z	57	83	53	65	37	33	28	30	31	51	66	49	62	58	28	45	59	73	42	54	57	46	54	43	53	25	15
bounding box x	123	109	119	126	132	132	127	118	111	130	113	124	119	93	106	113	84	104	115	102	107	94	109	81	93	120	104
bounding box y	78	66	68	137	133	139	129	122	90	181	179	83	85	59	82	76	75	131	117	73	86	103	114	86	96	177	161
bounding box z	112	108	100	116	97	75	67	82	69	113	115	68	81	68	60	57	105	107	89	67	72	55	86	61	63	84	79
center mni x	-0.167196	-0.0792465	0.0757065	-0.119545	0.0115299	0.300913	0.193558	0.191029	0.0298386	0.00963974	-0.0714417	0.164783	-0.0867081	-0.0925102	-0.0304947	-0.467573	-0.0425243	-0.0554924	-0.0163994	-0.0716572	-0.117491	-0.145424	0.0349064	-0.0511456	0.0826797	-0.0291824	-0.068367
center mni y	1.98031	3.38729	6.62222	-4.9576	-4.60255	-6.741	-7.8377	-6.42829	-1.47774	-16.4972	-14.8453	0.0326996	-0.454372	10.9891	0.426352	-0.00271797	4.24031	-5.74587	-0.797771	1.17975	-1.64331	-5.12302	-5.29297	-0.65966	-3.9676	-15.1057	-10.8695
center mni z	4.08606	6.05432	2.1267	6.70212	1.07875	-3.19582	-4.68376	-3.21276	-4.57667	2.85242	4.41801	-1.48201	0.886827	-0.800406	-5.21295	-3.15569	3.10999	5.5814	1.05576	-1.42521	-0.512555	-3.21396	1.24776	-2.60942	-1.53389	-2.56598	-5.48708
bounding box mni x	-4.8	-2	-4	-5.4	-6.6	-6.6	-5.6	-3.8	-2.4	-6.2	-2.8	-5	-4	1.2	-1.4	-2.8	3	-1	-3.2	-0.599998	-1.6	1	-2	3.6	1.2	-4.2	-1
bounding box mni y	6.6	9	8.6	-5.2	-4.4	-5.6	-3.6	-2.2	4.2	-14	-13.6	5.6	5.2	10.4	5.8	7	7.2	-4	-1.2	7.6	5	1.6	-0.600002	5	3	-13.2	-10
bounding box mni z	-1.9	3.3	-2.7	-0.3	-5.9	-6.7	-7.7	-7.3	-7.1	-3.1	-0.1	-3.5	-0.9	-1.7	-7.7	-4.3	-1.5	1.3	-4.9	-2.5	-1.9	-4.1	-2.5	-4.7	-2.7	-8.3	-10.3
