Name	FRO_Precentral	FRO_Premotor	FRO_Prefrontal	PAR	TEM_Superior	TEM_Inferior	TEM_Medial	TEM_Hippocampus	TEM_Amygdala	OCC_Lateral	OCC_Medial	INS_Anterior	INS_Posterior	OLF_Anterior	OLF_Piriform	OLF_Claustrum	CIN_Anterior	CIN_Posterior	BG_CaudoPutamen	BG_Accumbens	BG_Pallidum	BG_Substantia_Nigra	THL_Thalamus	THL_Hypothalamus	THL_Subthalamus	CBL	BST
voxel counts	84743	92593	83350	253253	63520	11903	102409	243616	181173	34516	70428	40746	43088	199626	77529	30195	45778	70184	229896	38379	16389	13494	87415	81090	13888	398856	513754
volume (mm^3)	10.5929	11.5741	10.4187	31.6566	7.94	1.48788	12.8011	30.452	22.6466	4.3145	8.8035	5.09325	5.386	24.9533	9.69112	3.77438	5.72225	8.773	28.737	4.79738	2.04862	1.68675	10.9269	10.1363	1.736	49.857	64.2193
center x	112.751	112.625	112.476	111.635	111.01	111.259	112.054	112.104	112.528	113.039	113.339	111.763	109.814	111.925	110.642	111.991	112.816	113.033	112.172	112.413	111.968	112.703	112.344	112.612	112.578	111.502	112.161
center y	116.977	102.471	86.1042	151.286	196.417	196.078	223.48	200.342	151.851	214.434	211.268	98.041	146.299	58.0774	138.109	143.004	124.901	196.709	135.964	109.947	154.652	202.456	173.287	160.211	177.471	274.039	245.011
center z	101.739	108.843	87.6152	97.7552	82.5422	60.5167	57.9989	76.2086	25.7302	104.98	117.761	65.7048	57.0623	69.5622	32.7544	41.4219	105.479	120.165	64.775	38.7812	51.8123	43.7897	68.7467	27.174	47.7106	73.7084	52.12
bounding box x	40	55	70	11	10	10	11	27	32	28	44	29	11	71	17	27	90	61	33	59	48	68	54	76	62	22	53
bounding box y	81	66	63	100	173	173	172	155	89	180	172	67	99	24	83	87	80	156	101	94	138	187	143	117	145	233	184
bounding box z	68	80	61	62	59	50	20	23	4	88	94	45	42	27	6	14	80	92	25	23	37	32	47	6	33	14	1
bounding box x	185	170	155	213	216	215	213	198	193	198	182	196	214	154	208	198	136	165	192	166	177	157	171	148	163	204	172
bounding box y	166	165	111	196	227	228	249	248	214	248	248	129	177	109	200	211	163	247	187	127	175	217	216	202	198	313	308
bounding box z	132	132	115	133	110	78	99	114	69	127	134	90	76	109	71	76	126	134	96	63	68	58	89	62	64	119	119
qa	0.149471	0.196466	0.214624	0.143202	0.168337	0.246368	0.196574	0.247748	0.234774	0.14888	0.152024	0.193486	0.198885	0.247838	0.202636	0.29207	0.211924	0.199058	0.202381	0.210283	0.273215	0.310547	0.247114	0.220516	0.31634	0.260586	0.216144
iso	1.37714	1.38214	1.47594	1.38635	1.4133	1.48244	1.45936	1.4299	1.47419	1.40776	1.41896	1.40666	1.41182	1.32456	1.33056	1.45151	1.50168	1.47969	1.41589	1.44844	1.32908	1.33272	1.37906	1.63273	1.33276	1.44685	1.369
qa_max	0.427732	0.425495	0.875385	0.667342	0.587326	0.475514	0.602416	0.754261	0.968934	0.556934	0.513609	0.532454	0.55247	0.867033	0.711711	0.561923	0.641503	0.601019	0.871079	0.598489	0.661467	0.700835	0.719277	0.749126	0.678732	0.769025	0.881487
iso_max	1.76025	2.17249	2.59115	1.94571	2.09757	2.38006	2.33484	2.48982	2.6821	2.19051	2.45671	2.12382	2.12135	2.25789	1.97194	1.65183	2.51699	2.68313	2.21279	2.09532	1.53704	1.70138	2.18077	3.05929	1.70672	2.75251	3.08276
qa_min	0.0125544	0.00717179	0.00371107	0.00792151	0.0151843	0.0150278	0.0150389	0.00378703	0.00806714	0.0160748	0.00954422	0.0103915	0.00621429	0.00166389	0.00505213	0.0447758	0.0405672	0.01615	0.00988918	0.0133375	0.0703227	0.0373687	0.0215207	0.00259264	0.0685017	0	0.00173502
iso_min	0.152595	0.125216	0.0311527	0.155839	0.222879	0.228344	0.149902	0.284118	0.147555	0.225239	0.183697	0.106059	0.139951	0.0237157	0.0842345	1.21144	0.310279	0.182668	0.378764	1.10663	1.08169	1.05	0.55232	0.0371338	1.05847	0	0.0268418
