Name	FRO_Precentral	FRO_Premotor	FRO_Prefrontal	PAR	TEM_Superior	TEM_Inferior	TEM_Medial	TEM_Hippocampus	TEM_Amygdala	OCC_Lateral	OCC_Medial	INS_Anterior	INS_Posterior	OLF_Anterior	OLF_Piriform	OLF_Claustrum	CIN_Anterior	CIN_Posterior	BG_CaudoPutamen	BG_Accumbens	BG_Pallidum	BG_Substantia_Nigra	THL_Thalamus	THL_Hypothalamus	THL_Subthalamus	CBL	BST
voxel counts	749529	478638	2.21001e+06	1.8181e+06	2.37659e+06	599863	501454	286307	201420	2.15961e+06	890371	151555	89562	5840	27758	82167	317838	312612	1.00529e+06	52331	182262	1722	508143	55086	89	1.62538e+06	1.23479e+06
volume (mm^3)	2529.66	1615.4	7458.78	6136.1	8020.99	2024.54	1692.41	966.286	679.793	7288.67	3005	511.498	302.272	19.71	93.6833	277.314	1072.7	1055.07	3392.85	176.617	615.134	5.81175	1714.98	185.915	0.300375	5485.64	4167.42
center x	96.1961	95.7994	96.2531	95.1729	96.0892	95.5101	94.9727	95.5378	96.2209	95.8813	95.6312	96.3401	95.1082	96.9751	94.9875	96.281	96.1181	96.0672	96.1046	96.1326	96.1457	97.5946	95.9863	96.2233	101.842	95.8512	96.1389
center y	96.0062	85.3232	64.5095	121.738	111.346	126.998	125.611	116.228	97.6539	159.936	156.174	93.356	108.516	60.7434	86.3467	94.1809	80.8211	118.436	93.7324	86.4054	99.8646	109.989	113.912	100.396	109.072	153.417	129.362
center z	75.7986	84.6718	58.0723	78.1748	44.468	33.9847	33.2394	32.9252	32.5476	64.0432	60.3819	44.8154	57.4467	36.2121	35.4595	42.774	72.0305	77.3046	52.2002	42.3009	46.2344	32.4664	55.3408	40.6834	44.8753	36.1166	30.7872
bounding box x	142	199	165	133	125	129	188	209	230	136	202	165	175	279	209	202	276	269	206	276	233	299	232	273	266	187	254
bounding box y	236	232	120	279	262	312	289	338	293	442	441	262	320	136	273	246	196	328	236	262	291	356	325	309	358	425	338
bounding box z	116	233	112	142	26	29	38	66	70	122	149	109	152	109	88	79	172	180	86	119	122	96	136	102	145	59	23
bounding box x	498	440	475	507	518	515	458	434	412	508	438	475	465	361	431	441	368	370	435	366	407	343	410	369	374	454	389
bounding box y	388	336	305	517	471	511	559	450	360	618	595	371	427	278	306	384	368	456	438	308	372	381	434	363	371	588	543
bounding box z	331	320	288	332	297	224	174	194	203	318	295	201	241	134	134	211	281	318	234	164	191	134	220	169	152	204	191
